;(mm) Precipitation (ERA5_AG) at CE_ID_0. 2019-08-01 to 2024-08-01
3-1-2023;0.04
4-1-2023;26173.00
5-1-2023;8.98
6-1-2023;221061.00
7-1-2023;154482.00
8-1-2023;0.17
9-1-2023;0.00
10-1-2023;0.00
11-1-2023;0.00
12-1-2023;0.00
13-1-2023;0.01
14-1-2023;0.93
15-1-2023;0.17
16-1-2023;0.15
17-1-2023;0.39
18-1-2023;0.34
19-1-2023;0.26
20-1-2023;0.02
21-1-2023;0.00
22-1-2023;0.01
23-1-2023;0.72
24-1-2023;0.45
25-1-2023;0.00
26-1-2023;0.23
27-1-2023;0.00
28-1-2023;0.00
29-1-2023;28146.00
30-1-2023;43594.00
31-1-2023;0.60
1-2-2023;29122.00
2-2-2023;18827.00
3-2-2023;5.75
4-2-2023;60773.00
5-2-2023;0.00
6-2-2023;0.41
7-2-2023;0.42
8-2-2023;12274.00
9-2-2023;342778.00
10-2-2023;209083.00
11-2-2023;49628.00
12-2-2023;0.65
13-2-2023;93899.00
14-2-2023;140075.00
15-2-2023;38715.00
16-2-2023;25594.00
17-2-2023;43237.00
18-2-2023;3158.00
19-2-2023;234565.00
20-2-2023;17231.00
21-2-2023;0.21
22-2-2023;0.10
23-2-2023;0.68
24-2-2023;0.00
25-2-2023;0.00
26-2-2023;0.16
27-2-2023;0.21
28-2-2023;0.99
1-3-2023;0.02
2-3-2023;0.16
3-3-2023;0.12
4-3-2023;0.04
5-3-2023;0.09
6-3-2023;15227.00
7-3-2023;20066.00
8-3-2023;0.12
9-3-2023;0.00
10-3-2023;0.52
11-3-2023;0.05
12-3-2023;0.06
13-3-2023;0.18
14-3-2023;0.14
15-3-2023;0.26
16-3-2023;0.42
17-3-2023;0.00
18-3-2023;0.00
19-3-2023;0.00
20-3-2023;0.00
21-3-2023;0.01
22-3-2023;0.01
23-3-2023;0.23
24-3-2023;0.72
25-3-2023;0.10
26-3-2023;0.00
27-3-2023;11588.00
28-3-2023;0.44
29-3-2023;0.05
30-3-2023;0.03
31-3-2023;0.03
1-4-2023;0.03
2-4-2023;0.00
3-4-2023;0.02
4-4-2023;0.01
5-4-2023;0.10
6-4-2023;0.00
7-4-2023;0.00
8-4-2023;0.00
9-4-2023;0.00
10-4-2023;1.88
11-4-2023;0.04
12-4-2023;0.29
13-4-2023;0.00
14-4-2023;0.00
15-4-2023;0.13
16-4-2023;0.31
17-4-2023;0.00
18-4-2023;0.00
19-4-2023;0.00
20-4-2023;0.00
21-4-2023;0.00
22-4-2023;0.00
23-4-2023;0.00
24-4-2023;0.00
25-4-2023;0.00
26-4-2023;0.00
27-4-2023;0.00
28-4-2023;0.00
29-4-2023;0.00
30-4-2023;0.00
1-5-2023;0.03
2-5-2023;0.00
3-5-2023;0.00
4-5-2023;0.00
5-5-2023;0.00
6-5-2023;0.00
7-5-2023;0.00
8-5-2023;0.01
9-5-2023;0.94
10-5-2023;0.26
11-5-2023;0.00
12-5-2023;0.00
13-5-2023;0.00
14-5-2023;0.03
15-5-2023;11428.00
16-5-2023;0.13
17-5-2023;0.06
18-5-2023;19561.00
19-5-2023;0.00
20-5-2023;0.18
21-5-2023;0.00
22-5-2023;0.00
23-5-2023;0.77
24-5-2023;0.00
25-5-2023;0.00
26-5-2023;0.00
27-5-2023;0.07
28-5-2023;0.02
29-5-2023;0.00
30-5-2023;0.00
31-5-2023;0.11
1-6-2023;0.00
2-6-2023;0.00
3-6-2023;0.00
4-6-2023;0.00
5-6-2023;0.00
6-6-2023;0.03
7-6-2023;0.09
8-6-2023;0.00
9-6-2023;0.00
10-6-2023;0.00
11-6-2023;0.00
12-6-2023;0.01
13-6-2023;0.00
14-6-2023;0.00
15-6-2023;0.00
16-6-2023;0.00
17-6-2023;0.00
18-6-2023;0.00
19-6-2023;0.00
20-6-2023;0.00
21-6-2023;0.04
22-6-2023;0.00
23-6-2023;0.25
24-6-2023;0.00
25-6-2023;0.00
26-6-2023;0.00
27-6-2023;0.00
28-6-2023;0.00
29-6-2023;0.00
30-6-2023;0.00
1-7-2023;0.00
2-7-2023;0.00
3-7-2023;0.14
4-7-2023;0.00
5-7-2023;0.00
6-7-2023;0.00
7-7-2023;0.00
8-7-2023;0.00
9-7-2023;0.00
10-7-2023;0.00
11-7-2023;0.00
12-7-2023;0.05
13-7-2023;0.01
14-7-2023;0.00
15-7-2023;0.00
16-7-2023;0.00
17-7-2023;0.00
18-7-2023;0.00
19-7-2023;0.00
20-7-2023;0.52
21-7-2023;31051.00
22-7-2023;0.45
23-7-2023;0.00
24-7-2023;0.00
25-7-2023;0.31
26-7-2023;0.05
27-7-2023;0.00
28-7-2023;0.00
29-7-2023;0.00
30-7-2023;0.00
31-7-2023;0.00
1-8-2023;0.00
2-8-2023;0.77
3-8-2023;0.39
4-8-2023;0.00
5-8-2023;0.21
6-8-2023;0.07
7-8-2023;0.00
8-8-2023;0.00
9-8-2023;0.00
10-8-2023;0.00
11-8-2023;0.00
12-8-2023;0.00
13-8-2023;0.00
14-8-2023;0.00
15-8-2023;0.00
16-8-2023;0.06
17-8-2023;0.00
18-8-2023;0.00
19-8-2023;0.00
20-8-2023;0.00
21-8-2023;0.00
22-8-2023;0.00
23-8-2023;0.00
24-8-2023;0.00
25-8-2023;0.00
26-8-2023;0.00
27-8-2023;0.01
28-8-2023;0.00
29-8-2023;0.00
30-8-2023;0.00
31-8-2023;0.00
1-9-2023;0.00
2-9-2023;0.00
3-9-2023;0.00
4-9-2023;0.00
5-9-2023;0.00
6-9-2023;0.00
7-9-2023;0.00
8-9-2023;0.00
9-9-2023;0.00
10-9-2023;0.00
11-9-2023;0.00
12-9-2023;0.01
13-9-2023;0.01
14-9-2023;0.04
15-9-2023;0.00
16-9-2023;0.00
17-9-2023;0.00
18-9-2023;0.17
19-9-2023;0.00
20-9-2023;0.01
21-9-2023;0.00
22-9-2023;0.00
23-9-2023;0.00
24-9-2023;0.00
25-9-2023;0.54
26-9-2023;0.00
27-9-2023;24302.00
28-9-2023;0.79
29-9-2023;0.21
30-9-2023;0.00
1-10-2023;0.02
2-10-2023;0.03
3-10-2023;0.00
4-10-2023;0.00
5-10-2023;0.00
6-10-2023;0.00
7-10-2023;0.00
8-10-2023;0.00
9-10-2023;0.70
10-10-2023;0.03
11-10-2023;0.00
12-10-2023;0.00
13-10-2023;0.15
14-10-2023;0.00
15-10-2023;13133.00
16-10-2023;75961.00
17-10-2023;0.79
18-10-2023;0.00
19-10-2023;0.00
20-10-2023;0.01
21-10-2023;0.00
22-10-2023;0.00
23-10-2023;0.09
24-10-2023;0.00
25-10-2023;0.00
26-10-2023;0.00
27-10-2023;0.00
28-10-2023;0.00
29-10-2023;0.25
30-10-2023;0.12
31-10-2023;61436.00
1-11-2023;30275.00
2-11-2023;0.03
3-11-2023;0.00
4-11-2023;0.00
5-11-2023;0.01
6-11-2023;0.02
7-11-2023;27533.00
8-11-2023;0.33
9-11-2023;0.00
10-11-2023;0.00
11-11-2023;0.00
12-11-2023;0.00
13-11-2023;0.67
14-11-2023;0.52
15-11-2023;0.01
16-11-2023;0.00
17-11-2023;0.00
18-11-2023;0.00
19-11-2023;0.01
20-11-2023;0.01
21-11-2023;0.36
22-11-2023;0.16
23-11-2023;0.00
24-11-2023;0.00
25-11-2023;0.00
26-11-2023;0.02
27-11-2023;0.01
28-11-2023;0.00
29-11-2023;11249.00
30-11-2023;0.14
1-12-2023;0.02
2-12-2023;0.00
3-12-2023;0.00
4-12-2023;0.00
5-12-2023;0.00
6-12-2023;0.00
7-12-2023;0.02
8-12-2023;0.10
9-12-2023;14993.00
10-12-2023;52728.00
11-12-2023;176952.00
12-12-2023;0.13
13-12-2023;0.40
14-12-2023;0.52
15-12-2023;0.94
16-12-2023;183045.00
17-12-2023;16991.00
18-12-2023;0.59
19-12-2023;0.35
20-12-2023;0.01
21-12-2023;0.00
22-12-2023;0.04
23-12-2023;0.00
24-12-2023;0.08
25-12-2023;162394.00
26-12-2023;359414.00
27-12-2023;22162.00
28-12-2023;0.94
29-12-2023;139013.00
30-12-2023;0.02
31-12-2023;0.02
1-1-2024;0.56
2-1-2024;0.53
3-1-2024;0.15
4-1-2024;0.41
5-1-2024;0.18
6-1-2024;0.00
7-1-2024;0.00
8-1-2024;0.00
9-1-2024;0.00
10-1-2024;0.01
11-1-2024;0.60
12-1-2024;5093.00
13-1-2024;43967.00
14-1-2024;70157.00
15-1-2024;0.44
16-1-2024;0.05
17-1-2024;0.47
18-1-2024;192562.00
19-1-2024;0.20
20-1-2024;0.00
21-1-2024;0.05
22-1-2024;0.00
23-1-2024;0.16
24-1-2024;0.29
25-1-2024;0.09
26-1-2024;0.00
27-1-2024;0.00
28-1-2024;0.01
29-1-2024;0.00
30-1-2024;0.01
31-1-2024;0.64
1-2-2024;0.13
2-2-2024;10409.00
3-2-2024;0.00
4-2-2024;0.04
5-2-2024;0.02
6-2-2024;0.09
7-2-2024;0.00
8-2-2024;0.11
9-2-2024;0.18
10-2-2024;0.42
11-2-2024;0.29
12-2-2024;0.00
13-2-2024;0.08
14-2-2024;0.00
15-2-2024;0.00
16-2-2024;0.00
17-2-2024;0.47
18-2-2024;0.15
19-2-2024;0.00
20-2-2024;0.03
21-2-2024;0.00
22-2-2024;0.00
23-2-2024;0.00
24-2-2024;0.00
25-2-2024;0.00
26-2-2024;0.79
27-2-2024;0.18
28-2-2024;0.25
29-2-2024;0.00
1-3-2024;0.00
2-3-2024;0.00
3-3-2024;0.00
4-3-2024;0.00
5-3-2024;0.01
6-3-2024;0.05
7-3-2024;0.09
8-3-2024;0.00
9-3-2024;0.04
10-3-2024;0.00
11-3-2024;0.00
12-3-2024;0.00
13-3-2024;0.00
14-3-2024;0.00
15-3-2024;0.69
16-3-2024;0.45
17-3-2024;0.58
18-3-2024;0.54
19-3-2024;0.01
20-3-2024;0.12
21-3-2024;0.28
22-3-2024;0.01
23-3-2024;0.65
24-3-2024;0.43
25-3-2024;19239.00
26-3-2024;0.76
27-3-2024;0.32
28-3-2024;0.00
29-3-2024;0.20
30-3-2024;0.08
31-3-2024;0.06
1-4-2024;0.22
2-4-2024;0.17
3-4-2024;0.06
4-4-2024;0.40
5-4-2024;3165.00
6-4-2024;0.50
7-4-2024;0.57
8-4-2024;64738.00
9-4-2024;121778.00
10-4-2024;0.00
11-4-2024;0.00
12-4-2024;0.50
13-4-2024;0.01
14-4-2024;0.00
15-4-2024;0.00
16-4-2024;0.14
17-4-2024;0.02
18-4-2024;0.06
19-4-2024;0.00
20-4-2024;0.00
21-4-2024;0.00
22-4-2024;0.00
23-4-2024;0.00
24-4-2024;0.00
25-4-2024;0.00
26-4-2024;0.19
27-4-2024;0.33
28-4-2024;0.00
29-4-2024;0.00
30-4-2024;0.00
1-5-2024;0.00
2-5-2024;0.00
3-5-2024;0.00
4-5-2024;0.00
5-5-2024;0.00
6-5-2024;0.00
7-5-2024;0.00
8-5-2024;0.00
9-5-2024;0.00
10-5-2024;0.00
11-5-2024;0.00
12-5-2024;0.00
13-5-2024;0.07
14-5-2024;6982.00
15-5-2024;0.11
16-5-2024;0.00
17-5-2024;0.00
18-5-2024;0.00
19-5-2024;0.02
20-5-2024;0.00
21-5-2024;0.00
22-5-2024;0.00
23-5-2024;0.04
24-5-2024;0.00
25-5-2024;0.00
26-5-2024;0.00
27-5-2024;0.00
28-5-2024;0.00
29-5-2024;0.00
30-5-2024;0.00
31-5-2024;0.00
1-6-2024;0.00
2-6-2024;0.00
3-6-2024;0.00
4-6-2024;0.00
5-6-2024;0.00
6-6-2024;0.00
7-6-2024;0.00
8-6-2024;0.00
9-6-2024;0.00
10-6-2024;0.00
11-6-2024;0.00
12-6-2024;0.00
13-6-2024;0.00
14-6-2024;0.00
15-6-2024;0.00
16-6-2024;0.04
17-6-2024;0.00
18-6-2024;0.00
19-6-2024;0.00
20-6-2024;0.00
21-6-2024;0.05
22-6-2024;0.00
23-6-2024;0.00
24-6-2024;0.02
25-6-2024;0.12
26-6-2024;0.37
27-6-2024;0.20
28-6-2024;0.21
29-6-2024;0.00
30-6-2024;0.00
1-7-2024;0.00
2-7-2024;0.00
3-7-2024;0.00
4-7-2024;0.00
5-7-2024;0.00
6-7-2024;0.00
7-7-2024;0.00
8-7-2024;0.00
9-7-2024;0.00
10-7-2024;0.00
11-7-2024;0.00
12-7-2024;0.00
13-7-2024;0.00
14-7-2024;0.00
15-7-2024;0.00
16-7-2024;0.00
17-7-2024;0.00
18-7-2024;0.00
19-7-2024;0.00
20-7-2024;0.00
21-7-2024;0.00
22-7-2024;0.00
23-7-2024;0.00
24-7-2024;0.00
25-7-2024;0.00
26-7-2024;0.00
27-7-2024;0.00
28-7-2024;0.00
29-7-2024;0.00
30-7-2024;0.00
31-7-2024;0.00
1-8-2024;0.32
